"Category","Assessor parcel number","Building classification","Year built","Acres","Building sq.ft."
"Existing","3210-018-004","Warehousing, Distribution, Storage","1980","23","540000"
"Existing","7221 Cate Dr Buena Park, CA 90621","warehouse","1980","23","540000"
"Existing","7220 Cate Dr Buena Park, CA 90621","warehouse","1980","23","540000"
"Planned and Approved","DaraIndustrialProject","TBD","2025","23","540000"
"Existing","909370036","light industrial","2001","22","538000"
"Existing","111002102","distribution warehouse","1990","22","538000"
"Existing","8167-037-008","Warehousing, Distribution, Storage","1980","22","536000"
"Existing","7316-026-033","Warehousing, Distribution, Storage","1989","22","536000"
"Planned and Approved","Agua Mansa Road Development Project","TBD","2025","22","536000"
"Planned and Approved","Agua Mansa Road Development Project","TBD","2025","22","536000"
"Existing","316211001","warehouse/mega","2018","22","535000"
"Existing","023810111","distribution warehouse","1997","22","535000"
"Existing","8719-007-038","Warehousing, Distribution, Storage","1980","22","535000"
"Existing","6450 Katella Ave Cypress, CA 90630","warehouse","1980","22","534000"
"Planned and Approved","west valley logistics center","TBD","2025","22","531000"
"Planned and Approved","Coachella Airport Business Park","TBD","2025","22","530000"
"Existing","314110075","light industrial","1980","22","528000"
"Existing","156140032","light industrial","1980","22","527000"
"Existing","022926235","distribution warehouse","1983","22","525000"
"Planned and Approved","Knox Business Park Bldg. E","TBD","2025","22","525000"
"Existing","1123 Warner Ave Tustin, CA 92780","warehouse","1980","22","524000"
"Existing","8617-001-020","Warehousing, Distribution, Storage","2016","22","523000"
"Existing","8242-011-067","Warehousing, Distribution, Storage","1980","22","523000"
"Existing","314180022","light industrial","2018","22","522000"
"Existing","024021139","distribution warehouse","2015","22","522000"
"Existing","7315-004-056","Warehousing, Distribution, Storage","1980","22","522000"
"Existing","177110016","light industrial","1980","22","520000"
"Existing","023816182","distribution warehouse","2015","22","520000"
"Existing","023811149","distribution warehouse","2002","22","520000"
"Existing","023817448","distribution warehouse","2000","22","520000"
"Existing","045919250","light industrial","2016","22","520000"
"Existing","1201 N Magnolia Ave Anaheim, CA 92801","warehouse","1980","22","519000"
"Existing","023817143","light industrial","1980","22","517000"
"Existing","8760-002-014","Warehousing, Distribution, Storage","1981","22","517000"
"Existing","8564-009-020","Warehousing, Distribution, Storage","1981","22","516000"
"Existing","7316-026-017","Warehousing, Distribution, Storage","1986","22","516000"
"Existing","026005116","distribution warehouse","2019","22","515000"
"Existing","8026-018-010","Warehousing, Distribution, Storage","1987","21","515000"
"Existing","016748116","distribution warehouse","2006","21","514000"
"Existing","8719-006-019","Warehousing, Distribution, Storage","2002","21","512000"
"Existing","156140054","warehouse/dry storage","2003","21","511000"
"Planned and Approved","west valley logistics center","TBD","2025","21","509000"
"Existing","026204121","distribution warehouse","2020","21","507000"
"Existing","354030037","warehouse/dry storage","2005","21","506000"
"Existing","6354-025-016","Warehousing, Distribution, Storage","1980","21","506000"
"Existing","026022104","distribution warehouse","2017","21","505000"
"Existing","025211127","light industrial","1980","21","505000"
"Existing","022901243","flex","2001","21","504000"
"Existing","023712207","light industrial","1980","21","504000"
"Planned and Approved","Mapes and Trumble Industrial Facility Project","TBD","2025","21","504000"
"Existing","021128143","distribution warehouse","2001","21","503000"
"Existing","026002143","transit warehouse (truck terminal)","2005","21","503000"
"Existing","263070055","light industrial","2003","21","501000"
"Existing","046017105","transit warehouse (truck terminal)","2017","21","501000"
"Existing","014801165","distribution warehouse","2007","21","499000"
"Existing","330120014","light industrial","1980","21","498000"
"Existing","8719-006-012","Warehousing, Distribution, Storage","2004","21","498000"
"Existing","7005-003-067","Warehousing, Distribution, Storage","1997","21","498000"
"Existing","302160032","warehouse/dry storage","2017","21","497000"
"Existing","019341101","flex","2016","21","497000"
"Existing","102163102","distribution warehouse","2001","21","497000"
"Existing","102515116","distribution warehouse","2001","21","497000"
"Planned and Approved","South Campus Reg4","TBD","2025","21","497000"
"Existing","023714104","flex","2016","21","495000"
"Existing","026011316","flex","2006","21","495000"
"Existing","7412-026-017","Warehousing, Distribution, Storage","2001","21","495000"
"Existing","023803128","distribution warehouse","2003","21","494000"
"Existing","022901242","distribution warehouse","2000","21","493000"
"Existing","8719-007-033","Warehousing, Distribution, Storage","2005","21","493000"
"Existing","156360014","warehouse/dry storage","2015","21","491000"
"Existing","263070065","light industrial","1980","20","490000"
"Existing","025506130","flex","2006","20","490000"
"Existing","957372012","warehouse/mega","2020","20","489000"
"Existing","023816181","distribution warehouse","2016","20","488000"
"Planned and Approved","SierraSummit","TBD","2025","20","488000"
"Existing","8604-018-002","Warehousing, Distribution, Storage","1980","20","487000"
"Existing","312950108","light industrial","1995","20","486000"
"Existing","023814424","distribution warehouse","1998","20","484000"
"Existing","2701 S Harbor Blvd Santa Ana, CA 92704","warehouse","1980","20","484000"
"Existing","021122264","distribution warehouse","1999","20","483000"
"Existing","026205141","distribution warehouse","2018","20","483000"
"Existing","021126345","transit warehouse (truck terminal)","2018","20","482000"
"Existing","021122262","distribution warehouse","1996","20","482000"
"Existing","023802177","distribution warehouse","2013","20","482000"
"Existing","7319-029-901","Warehousing, Distribution, Storage","2004","20","482000"
"Existing","156140049","warehouse/dry storage","2001","20","481000"
"Existing","156040073","light industrial","2001","20","481000"
"Existing","013635101","distribution warehouse","2006","20","481000"
"Existing","023810163","flex","1990","20","481000"
"Existing","102163101","distribution warehouse","2001","20","481000"
"Existing","417020078","warehouse/dry storage","2008","20","480000"
"Existing","7351-020-022","Warehousing, Distribution, Storage","2018","20","480000"
"Existing","317230052","warehouse/mega","2019","20","479000"
"Existing","9401 Toledo Way Irvine, CA 92618","warehouse","1980","20","479000"
"Existing","763340008","light industrial","1980","20","478000"
"Existing","102244109","distribution warehouse","1996","20","478000"
"Existing","8707-007-025","Warehousing, Distribution, Storage","2015","20","478000"
"Existing","7306-018-030","Warehousing, Distribution, Storage","1980","20","478000"
"Existing","6332-017-033","Warehousing, Distribution, Storage","1980","20","478000"
"Existing","6700 Artesia Blvd Buena Park, CA 90620","warehouse","1980","20","477000"
"Planned and Approved","Sycamore Hills Distribution Center Bldg 2","TBD","2025","20","477000"
"Existing","295310081","light industrial","1980","20","476000"
"Existing","022911164","distribution warehouse","2001","20","475000"
"Existing","6356-019-006","Warehousing, Distribution, Storage","2014","20","475000"
"Existing","023815232","flex","2006","20","474000"
"Existing","025508154","distribution warehouse","2019","20","474000"
"Existing","316200034","warehouse/dry storage","2012","20","473000"
"Existing","263280067","light industrial","2007","20","473000"
"Existing","3105-001-043","Warehousing, Distribution, Storage","2005","20","473000"
"Existing","111002104","distribution warehouse","2000","20","471000"
"Existing","156040063","light industrial","1998","20","470000"
"Existing","023718112","distribution warehouse","2016","20","469000"
"Existing","027932166","flex","2016","20","469000"
"Existing","316211018","warehouse/mega","2019","20","468000"
"Existing","160040034","light industrial","2006","20","468000"
"Existing","023815214","distribution warehouse","1987","20","468000"
"Existing","023803141","distribution warehouse","2004","20","468000"
"Existing","025422159","light industrial","1980","20","468000"
"Existing","045904134","distribution warehouse","2017","20","468000"
"Existing","6332-002-090","Warehousing, Distribution, Storage","1980","20","468000"
"Existing","020921150","distribution warehouse","2004","19","467000"
"Existing","026201148","distribution warehouse","2008","20","467000"
"Existing","6336-005-024","Warehousing, Distribution, Storage","1980","19","467000"
"Existing","316170026","vacant commercial land","1980","19","466000"
"Existing","9750 Irvine Blvd Irvine, CA 92618","warehouse","1980","19","466000"
"Planned and Approved","Birtcher Logistics Center","TBD","2025","19","466000"
"Existing","757170001","light industrial","1999","19","465000"
"Existing","049713130","light industrial","2002","19","465000"
"Existing","5146-009-006","Warehousing, Distribution, Storage","1985","19","465000"
"Existing","1231 N Miller St Anaheim, CA 92806","warehouse","1980","19","464000"
"Existing","1211 N Miller St Anaheim, CA 92806","warehouse","1980","19","464000"
"Existing","021128158","flex","2008","19","463000"
"Existing","023407141","transit warehouse (truck terminal)","2000","19","463000"
"Existing","102101120","flex","2012","19","463000"
"Existing","102720105","distribution warehouse","2012","19","463000"
"Existing","394070001","light industrial","1992","19","462000"
"Existing","013635116","distribution warehouse","2006","19","462000"
"Existing","7001-010-070","Warehousing, Distribution, Storage","2002","19","462000"
"Existing","15800 Laguna Canyon Rd Irvine, CA 92618","warehouse","1980","19","462000"
"Existing","650020031","light industrial","1980","19","461000"
"Existing","303120012","light industrial","1986","19","461000"
"Existing","020921149","distribution warehouse","2003","19","461000"
"Existing","6660 Orangethorpe Ave Buena Park, CA 90620","warehouse","1980","19","460000"
"Existing","485230036","warehouse/dry storage","2018","19","458000"
"Existing","115060024","light industrial","1997","19","458000"
"Existing","297130065","light industrial","1980","19","457000"
"Existing","024021139","distribution warehouse","2015","19","457000"
"Existing","102242124","distribution warehouse","1999","19","457000"
"Existing","102707105","distribution warehouse","2007","19","457000"
